人民币,长江传媒,广电网络,中文传媒,时代出版,春兰股份,厦华电子,惠而浦,澳柯玛,均胜电子,曙光股份,易见股份,海正药业,中恒集团,复星医药,江苏吴中,大唐电信,大恒科技,信威集团,康欣新材
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1307484252694946e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2953108192687246e-29,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.448133511582793e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.600800724184963e-24,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.115381229026998e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1209312952307563e-35,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4273440154859626e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3622283806517703e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7546784761935685e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.030251245424361e-32,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9421696371137928e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8033372612204226e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8972569641340925e-19,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2528692841024636e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.124965852085342e-15,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.7001052044394875e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5235377010004374e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9863245334235753e-38,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4544963136277782e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1409135564470855e-28,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.132814857210473e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.661845850757288e-30,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0166017416534032e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,2.6935288839487664e-30,0.0,7.042646643640182e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.549624525917389e-38,9.481358574703336e-05,3.5179788227500397e-13,0.0,0.9999052286148071,1.628060954826722e-29,2.1404964352108375e-35,0.0,0.0,0.0,0.0,1.1056210858184494e-30,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.874262170285731e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.351595935825564e-23,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.17110206081239e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1818398260704014e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0602637664968696e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1298100263990054e-34,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2253305587204736e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6775682307101585e-19,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.866845595423639e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.134313681031823e-19,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.716100356593069e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031693804485518e-27,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.689000225679578e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.936418228168782e-27,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.484531701122653e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2268664639157825e-35,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4321604073497373e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.291772058251051e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0870181824200762e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.895466411799925e-21,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.700470506000862e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.38991505918381e-31,0.0,5.250826696731083e-15,0.010602357797324657,3.883123690669573e-36,0.9893976449966431,1.0916322110287487e-27,3.519415025340559e-33,0.0,0.0,0.0,0.0,3.7330847076162e-27,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.81821115165951e-37,0.0,2.0561716392031304e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.904091014170444e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.228795382085888e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93113521631449e-35,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.860664980109026e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5070007856898566e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.697543829472679e-36,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.621216925093264e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2932661105113396e-35,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7422635832666626e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.867423889857861e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8164610930880043e-36,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1640513069974486e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4934260761095287e-31,0.0
